Year,Count
2022,98155
2021,95513
2020,83725
2019,70858
2018,64841
2017,59453
2016,56368
2015,53712
2014,50237
2013,46052
2012,42417
2011,38701
2010,33842
2009,30588
2008,28457
2007,26241
2006,23954
2005,21582
2004,18326
2003,15158
2002,13366
2001,12084
2000,11114
1999,9729
1998,8888
1997,8395
1996,7380
1995,6767
1994,6141
1993,5414
1992,4990
1991,4696
1990,4406
1989,4060
1988,3273
1987,2968
1986,2806
1985,2552
1984,2263
1983,1910
1982,1205
1981,929
1980,860
1979,835
1978,659
1977,633
1976,665
1975,576
1974,151
1973,140
1972,177
1971,142
1970,121
