PMID,URL,Error Code,Reason of error,Comment
31577193,https://api.github.com/repos/bioinformaticsML/,404,wrong link,space in the link
26710886,https://api.github.com/repos/bvnlabSCATTome/,404,wrong link,/bvnlab/SCATTome/
30689725,https://api.github.com/repos/Computational/,404,wrong link,space in the link
35854736,https://api.github.com/repos/Zhizhen-/,404,wrong link,space in the link
31885041,https://api.github.com/repos//a96123155,404,wrong link,// in the link
29718113,https://api.github.com/repos//bioinfomaticsCSU,404,wrong link,// in the link
31904815,https://api.github.com/repos//nyiuab,404,wrong link,// in the link
31510665,https://api.github.com/repos/cbg-ethz/predictability\_of\_cancer\_evolution,404,wrong link,"\ in the link, without them it's correct"
29292031,https://api.github.com/repos/ih-_lab/CNN_Smoothie,404,wrong link,/ih-lab/CNN_Smoothie
36260564,https://api.github.com/repos/JigneshChowdary/CXR_Classificationhttps,404,wrong link,The source code is available at https://github.com/JigneshChowdary/CXR_Classificationhttps: //github.com / JigneshChowdary /CXR_Classification.
35896914,https://api.github.com/repos/Jorebs/Deep-learning-based-instrument-detection-for-intra,404,wrong link,space in the link
29352257,https://api.github.com/repos/kouroshz/creNethttps,404,wrong link,The package can be downloaded at https://github.com/kouroshz/creNethttps://github.com/kouroshz/creNet and is accompanied by
26500705,https://api.github.com/repos/lhm30/PIDGIN.Graphical,404,wrong link,no space after the link
28092529,https://api.github.com/repos/ManiShiyam/Sub-category-classifiersfor-,404,wrong link,space in the link
36535036,https://api.github.com/repos/osmanberke/Ensemble-of-DNNs.Our,404,wrong link,no space after the link
31764961,https://api.github.com/repos/pinellolab/CRISPRitzhttps,404,wrong link,The software is freely available at: https://github.com/pinellolab/CRISPRitzhttps://github.com/InfOmics/CRISPRitz.
32525207,https://api.github.com/repos/qi29/main_,404,wrong link,space in the link
32750923,,,wrong link,space in the link
23661694,,,wrong link,available as a github repository at git@github.com:BEETL/BEETL.git.
28200105,,,wrong link,space in the link
30590415,,,wrong link,space in the link
35706060,,,wrong link,The source code of the AMADAR tool is available on GitHub [ CMCDD/AMADAR(github.com) ] and 
32879935,,,wrong link,space in the link
36374896,,,wrong link,space in the link
33367525,,,wrong link,space in the link
29515094,,,wrong link,space in the link
34637113,,,wrong link,space in the link
34745231,,,wrong link,space in the link
23734710,,,wrong link,available as a github repository at git@github.com:BEETL/BEETL.git.
32012014,,,wrong link,space in the link
26124555,,,wrong link,space in the link
30235130,https://api.github.com/repos/lingxiao-he/dfm,404,wrong link,/dfm_new
31937236,https://api.github.com/repos/LokmaneChebouba/key-pipeand,404,wrong link,no space after the link
33714997,https://api.github.com/repos/lunching/HCMM_CNVs.and,404,wrong link,no space after the link
34892526,https://api.github.com/repos/MultimodalNeuroimagingLab/mnl_seegviewClinical,404,wrong link,no space after the link
32123556,https://api.github.com/repos/Peppags/C_RNNCrispr,404,wrong link,/C-RNNCrispr
22689644,https://api.github.com/repos/quwubin/MFEprimer,404,wrong link,
28269829,https://api.github.com/repos/SBU-BMI/imageboxs,404,wrong link,Web App is included with the project codebase at https://github.com/SBU-BMI/imageboxs://github.com/SBU-BMI/imagebox.
32183707,https://api.github.com/repos/SCUT-CCNL/LCQSand,404,wrong link,no space after the link
33594415,https://api.github.com/repos/Shantanu48114860/DPN-SAz,404,wrong link,/DPN-SA
27087308,https://api.github.com/repos/SuLab/crowd_cid_relexDatabase,404,wrong link,no space after the link
32252628,https://api.github.com/repos/uio-bmi/two_step_graph_mapperalong,404,wrong link,no space after the link
29293920,https://api.github.com/repos/vishrawas/Medline-Code_v2,404,wrong link,/Medline--code_v2
