PMID	PubDate	DOI	Journal	Title	Abstract	GitHub_link_raw	GitHub_link_clean	GitHub_owner	GitHub_repo	Repo_created_at	Repo_updated_at	Fork	In_SoftWH	Archived	Record_date	Min_date	Issue	Correct_link
29292031	2017-12-28	10.1016/j.ebiom.2017.12.026	EBioMedicine	Deep Convolutional Neural Networks Enable Discrimination of Heterogeneous Digital Pathology Images.	Pathological evaluation of tumor tissue is pivotal for diagnosis in cancer patients and automated image analysis approaches have great potential to increase precision of diagnosis and help reduce human error. In this study, we utilize several computational methods based on convolutional neural networks (CNN) and build a stand-alone pipeline to effectively classify different histopathology images across different types of cancer. In particular, we demonstrate the utility of our pipeline to discriminate between two subtypes of lung cancer, four biomarkers of bladder cancer, and five biomarkers of breast cancer. In addition, we apply our pipeline to discriminate among four immunohistochemistry (IHC) staining scores of bladder and breast cancers. Our classification pipeline includes a basic CNN architecture, Google's Inceptions with three training strategies, and an ensemble of two state-of-the-art algorithms, Inception and ResNet. Training strategies include training the last layer of Google's Inceptions, training the network from scratch, and fine-tunning the parameters for our data using two pre-trained version of Google's Inception architectures, Inception-V1 and Inception-V3. We demonstrate the power of deep learning approaches for identifying cancer subtypes, and the robustness of Google's Inceptions even in presence of extensive tumor heterogeneity. On average, our pipeline achieved accuracies of 100%, 92%, 95%, and 69% for discrimination of various cancer tissues, subtypes, biomarkers, and scores, respectively. Our pipeline and related documentation is freely available at https://github.com/ih-_lab/CNN_Smoothie.	github.com/ih-_lab/CNN_Smoothie.	https://github.com/ih-_lab/CNN_Smoothie/	ih-_lab	CNN_Smoothie			0.0	0.0		2018-01-03	2017-12-28	wrong link	https://github.com/ih-lab/CNN_Smoothie/
29363427	2018-01-19	10.1186/s12864-017-4334-x	BMC genomics	GT-WGS: an efficient and economic tool for large-scale WGS analyses based on the AWS cloud service.	[OrderedDict([('@Label', 'BACKGROUND'), ('#text', 'Whole-genome sequencing (WGS) plays an increasingly important role in clinical practice and public health. Due to the big data size, WGS data analysis is usually compute-intensive and IO-intensive. Currently it usually takes 30 to 40\xa0h to finish a 50× WGS analysis task, which is far from the ideal speed required by the industry. Furthermore, the high-end infrastructure required by WGS computing is costly in terms of time and money. In this paper, we aim to improve the time efficiency of WGS analysis and minimize the cost by elastic cloud computing.')]), OrderedDict([('@Label', 'RESULTS'), ('#text', 'We developed a distributed system, GT-WGS, for large-scale WGS analyses utilizing the Amazon Web Services (AWS). Our system won the first prize on the Wind and Cloud challenge held by Genomics and Cloud Technology Alliance conference (GCTA) committee. The system makes full use of the dynamic pricing mechanism of AWS. We evaluate the performance of GT-WGS with a 55× WGS dataset (400GB fastq) provided by the GCTA 2017 competition. In the best case, it only took 18.4\xa0min to finish the analysis and the AWS cost of the whole process is only 16.5 US dollars. The accuracy of GT-WGS is 99.9% consistent with that of the Genome Analysis Toolkit (GATK) best practice. We also evaluated the performance of GT-WGS performance on a real-world dataset provided by the XiangYa hospital, which consists of 5× whole-genome dataset with 500 samples, and on average GT-WGS managed to finish one 5× WGS analysis task in 2.4\xa0min at a cost of $3.6.')]), OrderedDict([('@Label', 'CONCLUSIONS'), ('#text', 'WGS is already playing an important role in guiding therapeutic intervention. However, its application is limited by the time cost and computing cost. GT-WGS excelled as an efficient and affordable WGS analyses tool to address this problem. The demo video and supplementary materials of GT-WGS can be accessed at https://github.com/Genetalks/wgs_analysis_demo .')])]	github.com/Genetalks/wgs_analysis_demo	https://github.com/Genetalks/wgs_analysis_demo/	Genetalks	wgs_analysis_demo			0.0	1.0	2021-01-19	2018-01-25	2018-01-19	repo deleted	
33973997	2021-10-25	10.1093/bioinformatics/btab241	Bioinformatics (Oxford, England)	MANIEA: a microbial association network inference method based on improved Eclat association rule mining algorithm.	"[OrderedDict([('@Label', 'MOTIVATION'), ('@NlmCategory', 'BACKGROUND'), ('#text', 'Modeling microbiome systems as complex networks are known as the problem of network inference. Microbial association network inference is of great significance in applications on clinical diagnosis, disease treatment, pathological analysis, etc. However, most current network inference methods focus on mining strong pairwise associations between microorganisms, which is defective in reflecting the comprehensive interactive patterns participated by multiple microorganisms. It is also possible that the microorganisms involved in the generated network are not dominant in the microbiome due to the mere focus on the strength of pairwise associations. Some scholars tried to mine comprehensive microbial associations by association rule mining methods, but the adopted algorithms are relatively basic and have severe limitations such as low calculation efficiency, lacking the ability of mining negative correlations and high redundancy in results, making it difficult to mine high-quality microbial association rules and accurately infer microbial association networks.')]), OrderedDict([('@Label', 'RESULTS'), ('@NlmCategory', 'RESULTS'), ('#text', ""We proposed a microbial association network inference method 'MANIEA' based on the improved Eclat algorithm for mining positive and negative microbial association rules. We also proposed a new method for transforming association rules into microbial association networks, which can effectively demonstrate the co-occurrence and causal correlations in association rules. An experiment was conducted on three authentic microbial abundance datasets to compare the 'MANIEA' with currently popular network inference methods, which demonstrated that the proposed 'MANIEA' show advantages in aspects of correlation forms, computation efficiency, adjustability and network characteristics."")]), OrderedDict([('@Label', 'AVAILABILITY AND IMPLEMENTATION'), ('@NlmCategory', 'METHODS'), ('#text', 'The algorithms and data are available at: https://github.com/MaidiL/MANIEA.')])]"	github.com/MaidiL/MANIEA.	https://github.com/MaidiL/MANIEA/	MaidiL	MANIEA			0.0	1.0	2023-05-15	2021-05-12	2021-05-12	repo deleted	
34330122	2021-08-23	10.1088/1361-6560/ac195e	Physics in medicine and biology	CrossModalNet: exploiting quality preoperative images for multimodal image registration.	A long-standing problem in image-guided radiotherapy is that inferior intraoperative images present a difficult problem for automatic registration algorithms. Particularly for digital radiography (DR) and digitally reconstructed radiograph (DRR), the blurred, low-contrast, and noisy DR makes the multimodal registration of DR-DRR challenging. Therefore, we propose a novel CNN-based method called CrossModalNet to exploit the quality preoperative modality (DRR) for handling the limitations of intraoperative images (DR), thereby improving the registration accuracy. The method consists of two parts: DR-DRR contour predictions and contour-based rigid registration. We have designed the CrossModal Attention Module and CrossModal Refine Module to fully exploit the multiscale crossmodal features and implement the crossmodal interactions during the feature encoding and decoding stages. Then, the predicted anatomical contours of DR-DRR are registered by the classic mutual information method. We collected 2486 patient scans to train CrossModalNet and 170 scans to test its performance. The results show that it outperforms the classic and state-of-the-art methods with 95th percentile Hausdorff distance of 5.82 pixels and registration accuracy of 81.2%. The code is available at https://github.com/lc82111/crossModalNet.	github.com/lc82111/crossModalNet.	https://github.com/lc82111/crossModalNet/	lc82111	crossModalNet			0.0	0.0		2021-07-31	2021-07-31	repo deleted	
35896914	2022-07-28	10.1007/s11548-022-02715-y	International journal of computer assisted radiology and surgery	Deep-learning-based instrument detection for intra-operative robotic assistance.	[OrderedDict([('@Label', 'PURPOSE'), ('@NlmCategory', 'OBJECTIVE'), ('#text', 'Robotic scrub nurses have the potential to become an attractive solution for the operating room. Surgical instrument detection is a fundamental task for these systems, which is the focus of this work. We address the detection of the complete surgery set for wisdom teeth extraction, and propose a data augmentation technique tailored for this task.')]), OrderedDict([('@Label', 'METHODS'), ('@NlmCategory', 'METHODS'), ('#text', 'Using a robotic scrub nurse system, we create a dataset of 369 unique multi-instrument images with manual annotations. We then propose the Mask-Based Object Insertion method, capable of automatically generating a large amount of synthetic images. By using both real and artificial data, different Mask R-CNN models are trained and evaluated.')]), OrderedDict([('@Label', 'RESULTS'), ('@NlmCategory', 'RESULTS'), ('#text', 'Our experiments reveal that models trained on the synthetic data created with our method achieve comparable performance to that of models trained on real images. Moreover, we demonstrate that the combination of real and our artificial data can lead to a superior level of generalization.')]), OrderedDict([('@Label', 'CONCLUSION'), ('@NlmCategory', 'CONCLUSIONS'), ('#text', 'The proposed data augmentation technique is capable of dramatically reducing the labelling work required for training a deep-learning-based detection algorithm. A dataset for the complete instrument set for wisdom teeth extraction is made available for the scientific community, as well as the raw information required for the generation of the synthetic data ( https://github.com/Jorebs/Deep-learning-based-instrument-detection-for-intra operative-robotic-assistance ).')])]	github.com/Jorebs/Deep-learning-based-instrument-detection-for-intra	https://github.com/Jorebs/Deep-learning-based-instrument-detection-for-intra/	Jorebs	Deep-learning-based-instrument-detection-for-intra			0.0	0.0		2022-07-28	2022-07-28	wrong link	https://github.com/Jorebs/Deep-learning-based-instrument-detection-for-intra-operative-robotic-assistance/
33819146	2021-10-19	10.1109/TBME.2021.3070875	IEEE transactions on bio-medical engineering	Improved Prediction of Cognitive Outcomes via Globally Aligned Imaging Biomarker Enrichments Over Progressions.	"[OrderedDict([('@Label', 'OBJECTIVE'), ('#text', ""Longitudinal neuroimaging data have been widely used to predict clinical scores for automatic diagnosis of Alzheimer's Disease (AD) in recent years. However, incomplete temporal neuroimaging records of the patients pose a major challenge to use these data for accurately diagnosing AD. In this paper, we propose a novel method to learn an enriched representation for imaging biomarkers, which simultaneously captures the information conveyed by both the baseline neuroimaging records of all the participants in a studied cohort and the progressive variations of the available follow-up records of every individual participant."")]), OrderedDict([('@Label', 'METHODS'), ('sub', '2'), ('#text', 'Taking into account that different participants usually take different numbers of medical records at different time points, we develop a robust learning objective that minimizes the summations of a number of not-squared l-norm distances, which, though, is difficult to efficiently solve in general. Thus we derive a new efficient iterative algorithm with rigorously proved convergence.')]), OrderedDict([('@Label', 'RESULTS'), ('#text', ""We have conducted extensive experiments using the Alzheimer's Disease Neuroimaging Initiative (ADNI) dataset. Clear performance gains have been achieved when we predict different cognitive scores using the enriched biomarker representations learned by our new method. We further observe that the top selected biomarkers by our proposed method are in perfect accordance with the known knowledge in existing clinical AD studies."")]), OrderedDict([('@Label', 'CONCLUSION'), ('#text', 'All these promising experimental results have demonstrated the effectiveness of our new method.')]), OrderedDict([('@Label', 'SIGNIFICANCE'), ('sup', ['1', '1']), ('#text', 'We anticipate that our new method is of interest to biomedical engineering communities beyond AD research and have open-sourced the code of our method online.The code package of this paper have been made publicly available online at https://github.com/lyujian/Improved-Prediction-of-Cognitive-Outcomes.')])]"	github.com/lyujian/Improved-Prediction-of-Cognitive-Outcomes.	https://github.com/lyujian/Improved-Prediction-of-Cognitive-Outcomes/	lyujian	Improved-Prediction-of-Cognitive-Outcomes			0.0	1.0	2023-01-22	2021-04-06	2021-04-06	repo deleted	
31796388	2021-04-01	10.1109/TPAMI.2019.2956703	IEEE transactions on pattern analysis and machine intelligence	Dynamical Hyperparameter Optimization via Deep Reinforcement Learning in Tracking.	Hyperparameters are numerical pre-sets whose values are assigned prior to the commencement of a learning process. Selecting appropriate hyperparameters is often critical for achieving satisfactory performance in many vision problems, such as deep learning-based visual object tracking. However, it is often difficult to determine their optimal values, especially if they are specific to each video input. Most hyperparameter optimization algorithms tend to search a generic range and are imposed blindly on all sequences. In this paper, we propose a novel dynamical hyperparameter optimization method that adaptively optimizes hyperparameters for a given sequence using an action-prediction network leveraged on continuous deep Q-learning. Since the observation space for object tracking is significantly more complex than those in traditional control problems, existing continuous deep Q-learning algorithms cannot be directly applied. To overcome this challenge, we introduce an efficient heuristic strategy to handle high dimensional state space, while also accelerating the convergence behavior. The proposed algorithm is applied to improve two representative trackers, a Siamese-based one and a correlation-filter-based one, to evaluate its generalizability. Their superior performances on several popular benchmarks are clearly demonstrated. Our source code is available at https://github.com/shenjianbing/dqltracking.	github.com/shenjianbing/dqltracking.	https://github.com/shenjianbing/dqltracking/	shenjianbing	dqltracking			0.0	0.0		2019-12-05	2019-12-05	repo deleted	
31141124	2019-12-15	10.1093/bioinformatics/btz420	Bioinformatics (Oxford, England)	Smart computational exploration of stochastic gene regulatory network models using human-in-the-loop semi-supervised learning.	[OrderedDict([('@Label', 'MOTIVATION'), ('#text', 'Discrete stochastic models of gene regulatory network models are indispensable tools for biological inquiry since they allow the modeler to predict how molecular interactions give rise to nonlinear system output. Model exploration with the objective of generating qualitative hypotheses about the workings of a pathway is usually the first step in the modeling process. It involves simulating the gene network model under a very large range of conditions, due to the large uncertainty in interactions and kinetic parameters. This makes model exploration highly computational demanding. Furthermore, with no prior information about the model behavior, labor-intensive manual inspection of very large amounts of simulation results becomes necessary. This limits systematic computational exploration to simplistic models.')]), OrderedDict([('@Label', 'RESULTS'), ('#text', 'We have developed an interactive, smart workflow for model exploration based on semi-supervised learning and human-in-the-loop labeling of data. The workflow lets a modeler rapidly discover ranges of interesting behaviors predicted by the model. Utilizing that similar simulation output is in proximity of each other in a feature space, the modeler can focus on informing the system about what behaviors are more interesting than others by labeling, rather than analyzing simulation results with custom scripts and workflows. This results in a large reduction in time-consuming manual work by the modeler early in a modeling project, which can substantially reduce the time needed to go from an initial model to testable predictions and downstream analysis.')]), OrderedDict([('@Label', 'AVAILABILITY AND IMPLEMENTATION'), ('#text', 'A python-package is available at https://github.com/Wrede/mio.git.')]), OrderedDict([('@Label', 'SUPPLEMENTARY INFORMATION'), ('#text', 'Supplementary data are available at Bioinformatics online.')])]	github.com/Wrede/mio.git.	https://github.com/Wrede/mio/	Wrede	mio			0.0	0.0		2019-05-30	2019-05-30	repo deleted	
31870979	2019-12-23	10.1109/TPAMI.2019.2961672	IEEE transactions on pattern analysis and machine intelligence	Learned Dynamic Guidance for Depth Image Reconstruction.	The depth images acquired by consumer depth sensors (e.g., Kinect and ToF) usually are of low resolution and insufficient quality. One natural solution is to incorporate a high resolution RGB camera and exploit the statistical correlation of its data and depth. In recent years, both optimization-based and learning-based approaches have been proposed to deal with the guided depth reconstruction problems. In this paper, we introduce a weighted analysis sparse representation (WASR) model for guided depth image enhancement, which can be considered a generalized formulation of a wide range of previous optimization-based models. We unfold the optimization by the WASR model and conduct guided depth reconstruction with dynamically changed stage-wise operations. Such a guidance strategy enables us to dynamically adjust the stage-wise operations that update the depth image, thus improving the reconstruction quality and speed. To learn the stage-wise operations in a task-driven manner, we propose two parameterizations and their corresponding methods: dynamic guidance with Gaussian RBF nonlinearity parameterization (DG-RBF) and dynamic guidance with CNN nonlinearity parameterization (DG-CNN). The network structures of the proposed DG-RBF and DG-CNN methods are designed with the the objective function of our WASR model in mind and the optimal network parameters are learned from paired training data. Such optimization-inspired network architectures enable our models to leverage the previous expertise as well as take benefit from training data. The effectiveness is validated for guided depth image super-resolution and for realistic depth image reconstruction tasks using standard benchmarks. Our DG-RBF and DG-CNN methods achieve the best quantitative results (RMSE) and better visual quality than the state-of-the-art approaches at the time of writing. The code is available at https://github.com/ShuhangGu/GuidedDepthSR.	github.com/ShuhangGu/GuidedDepthSR.	https://github.com/ShuhangGu/GuidedDepthSR/	ShuhangGu	GuidedDepthSR			0.0	0.0		2019-12-25	2019-12-23	repo deleted	
34529576	2021-09-16	10.1109/TNNLS.2021.3107362	IEEE transactions on neural networks and learning systems	DPSNet: Multitask Learning Using Geometry Reasoning for Scene Depth and Semantics.	Multitask joint learning technology continues gaining more attention as a paradigm shift and has shown promising performance in many applications. Depth estimation and semantic understanding from monocular images emerge as a challenging problem in computer vision. While the other joint learning frameworks establish the relationship between the semantics and depth from stereo pairs, the lack of learning camera motion renders the frameworks that fail to model the geometric structure of the image scene. We make a further step in this article by proposing a multitask learning method, namely DPSNet, which can jointly perform depth and camera pose estimation and semantic scene segmentation. Our core idea for depth and camera pose prediction is that we present the rigid semantic consistency loss to overcome the limitation of moving pixels from image reconstruction technology and further infer the segmentation of moving instances based on them. In addition, our proposed model performs semantic segmentation by reasoning the geometric correspondences between the pixel semantic outputs and the semantic labels at multiscale resolutions. Experiments on open-source datasets and a video dataset captured on a micro-smart car show the effectiveness of each component of DPSNet, and DPSNet achieves state-of-the-art results in all three tasks compared with the best popular methods. All our models and code are available at https://github.com/jn-z/DPSNet: Multitask Learning Using Geometry Reasoning for Scene Depth and semantics.	github.com/jn-z/DPSNet	https://github.com/jn-z/DPSNet/	jn-z	DPSNet			0.0	0.0		2021-09-17	2021-09-16	wrong link	https://github.com/jn-z/DPSNet-Multi-Task-Learning-Using-Geometry-Reasoning-for-Scene-Depth-and-Semantics/
