Id	DOI	PubDate	GitHub_link_raw	GitHub_link_clean	FullJournalName	Title	Phrase
36732776	10.1186/s13040-023-00321-5	2023-02-03	https://github.com/CirculatoryHealth/LoFTK	https://github.com/CirculatoryHealth/LoFTK	BioData mining	LoFTK: a framework for fully automated calculation of predicted Loss-of-Function variants and genes.	LoFTK is an open software and is freely available to non-commercial users at https://github.com/CirculatoryHealth/LoFTK .
36732704	10.1186/s12859-023-05158-7	2023-02-02	https://github.com/tyqGitHub/TYQ/tree/master/GACNNMDA	https://github.com/tyqGitHub/TYQ/tree/master/GACNNMDA	BMC bioinformatics	GACNNMDA: a computational model for predicting potential human microbe-drug associations based on graph attention network and CNN-based classifier.	Source codes and supplementary materials are available at: https://github.com/tyqGitHub/TYQ/tree/master/GACNNMDA.
36732214	10.1121/10.0016850	2023-02-02	https://ucrbraingamecenter.github.io/PART_Utilities/	https://ucrbraingamecenter.github.io/PART_Utilities/	The Journal of the Acoustical Society of America	Development and validation of a Spanish-language spatial release from masking task in a Mexican population.	To present the Spanish-language SRM test, we created new recordings of the CRM with Spanish-language Translations and updated the freely available app (PART; https://ucrbraingamecenter.github.io/PART_Utilities/) to present materials in Spanish.
36731618	10.1016/j.gene.2023.147231	2023-02-02	https://github.com/almeidasilvaf/SoyPestGCN	https://github.com/almeidasilvaf/SoyPestGCN	Gene	Discovering and prioritizing candidate resistance genes against soybean pests by integrating GWAS and gene coexpression networks.	r/) and an R/Shiny package (https://github.com/almeidasilvaf/SoyPestGCN) that serve as a public resource to explore soybean-pest interactions at the transcriptional level.
36731360	10.1016/j.compbiomed.2023.106585	2023-02-02	https://github.com/CloneRob/ECMT	https://github.com/CloneRob/ECMT	Computers in biology and medicine	Error-Correcting Mean-Teacher: Corrections instead of consistency-targets applied to semi-supervised medical image segmentation.	Code is available at https://github.com/CloneRob/ECMT.
36731275	10.1016/j.media.2023.102758	2023-02-02	https://github.com/lu-yizhou/ClusterSeg	https://github.com/lu-yizhou/ClusterSeg	Medical image analysis	ClusterSeg: A crowd cluster pinpointed nucleus segmentation framework with cross-modality datasets.	Our collected data, the elaborate annotations to both public and private set, as well the source code, are released publicly at https://github.com/lu-yizhou/ClusterSeg.
36730456	10.1371/journal.pone.0281288	2023-02-02	https://github.com/s0sat/MPASS	https://github.com/s0sat/MPASS	PloS one	Phylogeny analysis of whole protein-coding genes in metagenomic data detected an environmental gradient for the microbiota.	Custom Perl script for the MPASS pipeline is available at https://github.com/s0sat/MPASS.
36730168	10.1371/journal.pone.0281248	2023-02-02	https://github.com/luisf-gomez/Explorer-FE-AU-in-PD	https://github.com/luisf-gomez/Explorer-FE-AU-in-PD	PloS one	Exploring facial expressions and action unit domains for Parkinson detection.	The code of the experiments is available at https://github.com/luisf-gomez/Explorer-FE-AU-in-PD. Domain adaptation via transfer learning methods seem to be a promising strategy to model hypomimia in PD patients.
36728891	10.1111/1755-0998.13762	2023-02-02	https://github.com/popphylotools/HiMAP_v2	https://github.com/popphylotools/HiMAP_v2	Molecular ecology resources	HiMAP2: Identifying phylogenetically informative genetic markers from diverse genomic resources.	Source code and user instructions for HiMAP2 are available at https://github.com/popphylotools/HiMAP_v2.
36727493	10.1093/bioinformatics/btac848	2023-02-02	https://github.com/AndMastro/NIAPU	https://github.com/AndMastro/NIAPU	Bioinformatics (Oxford, England)	NIAPU: Network-Informed Adaptive Positive-Unlabeled learning for disease gene identification.	The source code of NIAPU can be accessed at https://github.com/AndMastro/NIAPU. The source data used in this study are available online on the respective websites.
