Id	DOI	PubDate	GitHub_link	FullJournalName	Title	Phrase
36705898	10.1007/978-1-0716-2768-6_4	2023-01-27	https://github.com/ofer-kimchi/LandscapeFol	Methods in molecular biology (Clifton, N.J.)	Nucleic Acid Structure Prediction Including Pseudoknots Through Direct Enumeration of States: A User's Guide to the LandscapeFold Algorithm.	The code is available on the GitHub repository https://github.com/ofer-kimchi/LandscapeFold .
36704972	10.1002/jcc.27077	2023-01-27	https://procacci.github.io/vdssb_gromacs/NE-RDF, https://zenodo.org/record/6982932	Journal of computational chemistry	NE-RDFE: A protocol and toolkit for computing relative dissociation free energies with GROMACS between dissimilar molecules using bidirectional nonequilibrium dual topology schemes.	The article is supplemented by a detailed online tutorial, available at https://procacci.github.
36704711	10.1093/bioadv/vbac044	2023-01-27	https://github.com/jennylsl/fast.adonis	Bioinformatics advances	fast.adonis: a computationally efficient non-parametric multivariate analysis of microbiome data for large-scale studies.	donis</i> is implemented using R and is publicly available at https://github.com/jennylsl/fast.adonis.
36703114	10.1186/s12859-022-05111-0	2023-01-26	https://github.com/munizmom/gdaphe	BMC bioinformatics	Gdaphen, R pipeline to identify the most important qualitative and quantitative predictor variables from phenotypic data.	Gdaphen is open-source and freely available at https://github.com/munizmom/gdaphen , together with vignettes, documentation for the functions and examples to guide you in each own implementation.
36702988	10.1007/s10278-023-00782-4	2023-01-26	https://github.com/mi2rl/CheS	Journal of digital imaging	CheSS: Chest X-Ray Pre-trained Model via Self-supervised Contrastive Learning.	CheSS weight is available at https://github.com/mi2rl/CheSS .
36702456	10.1093/bioinformatics/btad058	2023-01-26	https://github.com/bmx8177/MS1Connect	Bioinformatics (Oxford, England)	MS1Connect: a mass spectrometry run similarity measure.	The MS1Connect software will be made available upon acceptance at https://github.com/bmx8177/MS1Connect. Supplementary data are available at Bioinformatics online.
36702038	10.1016/j.media.2023.102747	2023-01-26	https://github.com/thetna/medical_image_segmentation	Medical image analysis	Histogram of Oriented Gradients meet deep learning: A novel multi-task deep network for 2D surgical image semantic segmentation.	Code and implementation details are available at:https://github.com/thetna/medical_image_segmentation.
36702036	10.1016/j.media.2023.102754	2023-01-26	https://github.com/199507284711/PD-GTSN	Medical image analysis	Vision-based estimation of MDS-UPDRS scores for quantifying Parkinson's disease tremor severity.	The latest version of the code is available at https://github.com/199507284711/PD-GTSN.
36701967	10.1016/j.compbiomed.2023.106555	2023-01-26	https://github.com/zhongqiu1245/TwistNet	Computers in biology and medicine	Twist-Net: A multi-modality transfer learning network with the hybrid bilateral encoder for hypopharyngeal cancer segmentation.	The code is available at: https://github.com/zhongqiu1245/TwistNet.
36699954	10.1109/memc.2022.9982572	2023-01-26	GitHub	IEEE electromagnetic compatibility magazine	A Multi-Frequency 3D Printed Hand Phantom for Electromagnetic Measurements.	The 3D print files are available on GitHub.
36699950	10.3389/fnbot.2022.1081242	2023-01-26	https://github.com/ihuhuhu/RAC	Frontiers in neurorobotics	Realistic Actor-Critic: A framework for balance between value overestimation and underestimation.	All the source codes are available at https://github.com/ihuhuhu/RAC. This research not only provides valuable insights for research on the exploration-exploitation trade-off by studying the frequency of policies access to low-value states under different value confidence-bounds guidance, but also proposes a new unified framework that can be combined with current actor-critic methods to improve sample efficiency in the continuous control domain.
36699420	10.1093/bioadv/vbac020	2023-01-26	https://bioconductor.org/packages/RCX, https://github.com/frankkramer-lab/RCX	Bioinformatics advances	RCX-an R package adapting the Cytoscape Exchange format for biological networks.	5 (https://bioconductor.
36699418	10.1093/bioadv/vbac078	2023-01-26	https://github.com/fukunagatsu/LinAliFold-CentroidLinAliFold	Bioinformatics advances	LinAliFold and CentroidLinAliFold: fast RNA consensus secondary structure prediction for aligned sequences using beam search methods.	The source codes of LinAliFold and CentroidLinAliFold are freely available at https://github.com/fukunagatsu/LinAliFold-CentroidLinAliFold. Supplementary data are available at <i>Bioinformatics Advances</i> online.
36699415	10.1093/bioadv/vbac064	2023-01-26	https://github.com/bigomics/metaLINCS	Bioinformatics advances	metaLINCS: an R package for meta-level analysis of LINCS L1000 drug signatures using stratified connectivity mapping.	Source code and documentation are freely available on GitHub (https://github.com/bigomics/metaLINCS). Supplementary data are available at <i>Bioinformatics Advances</i> online.
36699414	10.1093/bioadv/vbac082	2023-01-26	https://github.com/anmabu/beeRapp	Bioinformatics advances	beeRapp: an R shiny app for automated high-throughput explorative analysis of multivariate behavioral data.	The code and data underlying this article are available at https://github.com/anmabu/beeRapp.
36699413	10.1093/bioadv/vbac048	2023-01-26	https://github.com/sandhya212/Sparcle_for_spot_reassignments	Bioinformatics advances	Sparcle: assigning transcripts to cells in multiplexed images.	The code is available at: https://github.com/sandhya212/Sparcle_for_spot_reassignments. sandhya.prabhakaran@moffitt.org.
36699411	10.1093/bioadv/vbac043	2023-01-26	https://github.com/pchlenski/misdeed	Bioinformatics advances	MiSDEED: a synthetic data engine for microbiome study power analysis and study design.	MiSDEED is written in Python and is freely available at https://github.com/pchlenski/misdeed.
36699410	10.1093/bioadv/vbac023	2023-01-26	https://github.com/kkyamada/bert-rbp	Bioinformatics advances	Prediction of RNA-protein interactions using a nucleotide language model.	Python source codes are freely available at https://github.com/kkyamada/bert-rbp. The datasets underlying this article were derived from sources in the public domain: [RBPsuite (http://www.csbio.sjtu.edu.
36699406	10.1093/bioadv/vbac019	2023-01-26	https://github.com/Simon-Leonard/FlexDotPlo, https://github.com/Simon-Leonard/FlexDotPlot_paper	Bioinformatics advances	FlexDotPlot: a universal and modular dot plot visualization tool for complex multifaceted data.	Source code and detailed manual are available on CRAN (stable version) and at https://github.com/Simon-Leonard/FlexDotPlot (development version).
36699404	10.1093/bioadv/vbac058	2023-01-26	https://github.com/jdeweeselab/psicalc-package	Bioinformatics advances	PSICalc: a novel approach to identifying and ranking critical non-proximal interdependencies within the overall protein structure.	https://github.com/jdeweeselab/psicalc-package. Supplementary data are available at <i>Bioinformatics Advances</i> online.
36699403	10.1093/bioadv/vbac046	2023-01-26	https://github.com/oxpig/AbLang	Bioinformatics advances	AbLang: an antibody language model for completing antibody sequences.	AbLang is a python package available at https://github.com/oxpig/AbLang. Supplementary data are available at <i>Bioinformatics Advances</i> online.
36699402	10.1093/bioadv/vbac080	2023-01-26	https://github.com/lsbnb/amp_ga, https://github.com/LinTzuTang/AI4AVP_predictor	Bioinformatics advances	AI4AVP: an antiviral peptides predictor in deep learning approach with generative adversarial network data augmentation.	w/AI4AVP/; codes and datasets for the peptide GAN and the AVP predictor CNN are available at https://github.
36699398	10.1093/bioadv/vbac039	2023-01-26	https://github.com/sealx017/DenVar	Bioinformatics advances	DenVar: density-based variation analysis of multiplex imaging data.	The associated <i>R</i> package can be found here, https://github.com/sealx017/DenVar. Supplementary data are available at <i>Bioinformatics Advances</i> online.
36699395	10.1093/bioadv/vbac009	2023-01-26	https://github.com/Neuropathology-Giessen/Sange, https://hub.docker.com/repository/docker/kaischmid/sange_r	Bioinformatics advances	SangeR: the high-throughput Sanger sequencing analysis pipeline.	SangeR is freely available at https://github.com/Neuropathology-Giessen/SangeR and https://hub.docker.com/repository/docker/kaischmid/sange_r.
36699393	10.1093/bioadv/vbac029	2023-01-26	https://github.com/tlemane/kmtricks	Bioinformatics advances	kmtricks: efficient and flexible construction of Bloom filters for large sequencing data collections.	https://github.com/tlemane/kmtricks. Supplementary data are available at <i>Bioinformatics Advances</i> online.
36699392	10.1093/bioadv/vbab044	2023-01-26	https://github.com/UdeS-CoBIUS/SpliceFamAlignMulti	Bioinformatics advances	From pairwise to multiple spliced alignment.	The supporting data and implementation of SFAM are freely available at https://github.com/UdeS-CoBIUS/SpliceFamAlignMulti. Supplementary data are available at <i>Bioinformatics Advances</i> online.
36699390	10.1093/bioadv/vbac053	2023-01-26	github.com/modsim/cellsiu	Bioinformatics advances	CellSium: versatile cell simulator for microcolony ground truth generation.	<i>CellSium</i> is free and open source software under the BSD license, implemented in Python, available at github.com/modsim/cellsium (DOI: 10.5281/zenodo.
36699389	10.1093/bioadv/vbac068	2023-01-26	https://github.com/RolandFaure/QuickDeconvolution	Bioinformatics advances	QuickDeconvolution: fast and scalable deconvolution of linked-read sequencing data.	Code and instructions are available on https://github.com/RolandFaure/QuickDeconvolution. Supplementary data are available at <i>Bioinformatics Advances</i> online.
36699387	10.1093/bioadv/vbac040	2023-01-26	https://github.com/FordeGenomics/cathai, https://cathai.fordelab.com	Bioinformatics advances	CATHAI: cluster analysis tool for healthcare-associated infections.	All code associated with this application are free available from https://github.com/FordeGenomics/cathai. A demonstration version of CATHAI is available online at https://cathai.fordelab.com.
36699385	10.1093/bioadv/vbac016	2023-01-26	https://www.bioconductor.org/packages/release/bioc/html/decoupleR.html, https://github.com/saezlab/decoupler-py, https://github.com/saezlab/decoupleR_manuscript, https://zenodo.org/record/5645208	Bioinformatics advances	decoupleR: ensemble of computational methods to infer biological activities from omics data.	The code to reproduce the results is in GitHub (https://github.com/saezlab/decoupleR_manuscript) and the data in Zenodo (https://zenodo.org/record/5645208).
36699384	10.1093/bioadv/vbac005	2023-01-26	https://github.com/AdamaJava/adamajava, https://adamajava.readthedocs.io/en/latest/	Bioinformatics advances	qmotif: determination of telomere content from whole-genome sequence data.	qmotif is implemented in Java and source code is available at https://github.com/AdamaJava/adamajava, with instructions on how to build and use the application available from https://adamajava.readthedocs.io/en/latest/.
36699383	10.1093/bioadv/vbac025	2023-01-26	https://github.com/jchow32/MAGI-MS	Bioinformatics advances	MAGI-MS: multiple seed-centric module discovery.	MAGI-MS is free and available at https://github.com/jchow32/MAGI-MS. Supplementary data are available at <i>Bioinformatics Advances</i> online.
36699382	10.1093/bioadv/vbac056	2023-01-26	github.com/pipolinlab/ExplorePipolin	Bioinformatics advances	ExplorePipolin: reconstruction and annotation of piPolB-encoding bacterial mobile elements from draft genomes.	All code is available and can be accessed here: github.com/pipolinlab/ExplorePipolin. Supplementary data are available at <i>Bioinformatics Advances</i> online.
36699381	10.1093/bioadv/vbac021	2023-01-26	https://github.com/williamdee1/LMPred_AMP_Prediction	Bioinformatics advances	LMPred: predicting antimicrobial peptides using pre-trained language models and deep learning.	All codes are available and can be accessed here: https://github.com/williamdee1/LMPred_AMP_Prediction. Supplementary data are available at <i>Bioinformatics Advances</i> online.
36699380	10.1093/bioadv/vbac050	2023-01-26	https://github.com/iTaxoTools/ConcatenatorGui	Bioinformatics advances	Concatenator, a user-friendly program to concatenate DNA sequences, implementing graphical user interfaces for MAFFT and FastTree.	rg; the source code is openly available on GitHub (https://github.com/iTaxoTools/ConcatenatorGui).
36699376	10.1093/bioadv/vbac079	2023-01-26	https://github.com/skr1/Imagene.git, https://github.com/skr1/Imagene.git	Bioinformatics advances	ImaGene: a web-based software platform for tumor radiogenomic evaluation and reporting.	rg, https://github.com/skr1/Imagene.git.
36699375	10.1093/bioadv/vbac052	2023-01-26	https://github.com/SciOmicsLab/PhenoComb	Bioinformatics advances	PhenoComb: a discovery tool to assess complex phenotypes in high-dimensional single-cell datasets.	The PhenoComb R package can be downloaded from https://github.com/SciOmicsLab/PhenoComb. Supplementary data are available at <i>Bioinformatics Advances</i> online.
36699374	10.1093/bioadv/vbac049	2023-01-26	https://github.com/empiricalbayes/CSCDRNA	Bioinformatics advances	More accurate estimation of cell composition in bulk expression through robust integration of single-cell information.	The R package is available on https://github.com/empiricalbayes/CSCDRNA.
36699373	10.1093/bioadv/vbac036	2023-01-26	https://github.com/PavlopoulosLab/NORMA	Bioinformatics advances	The network makeup artist (NORMA-2.0): distinguishing annotated groups in a network using innovative layout strategies.	The source code is freely available at https://github.com/PavlopoulosLab/NORMA.
36699372	10.1093/bioadv/vbac071	2023-01-26	https://github.com/BorgwardtLab/reComBat, https://github.com/BorgwardtLab/batchCorrectionPublicData	Bioinformatics advances	reComBat: batch-effect removal in large-scale multi-source gene-expression data integration.	The code is available at https://github.com/BorgwardtLab/reComBat, all data and evaluation code can be found at https://github.com/BorgwardtLab/batchCorrectionPublicData.
